#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL1005	0.518363	0.518363	0.0510712	0.535936	0.138153	0.0779636	0.563814	0.542746	0.521167	0.19678	0.532146	0.614808	0.716159	0.173912	0.51671	0.696081	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL1007	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.0378839	0.516478	0.563277	0.633477	0.56386	0.508462	0.0619843	1.75825e-05	0.531952	0.506367	0.506367	N/A
ORTHOMCL1044	0.000846016	0.535721	0.517477	0.518477	0.0254034	0.111369	0.533579	0.5221	0.510757	1.67686e-05	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.109734	0.531952	0.506367	0.506367	N/A
ORTHOMCL1047	0.535721	0.0535878	0.517477	0.518477	0.592018	0.0143539	0.533579	0.0111693	0.510757	0.573306	0.516478	0.563277	0.010128	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL1067	0.535721	0.0185289	0.517477	0.518477	0.0254034	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.0325684	0.633477	0.56386	0.508462	0.618034	0.00295617	0.531952	0.506367	0.506367	N/A
ORTHOMCL1078	0.552135	0.00197957	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL1166	0.0535878	0.535721	0.0510712	0.535936	0.592018	0.633994	0.563814	0.542746	0.521167	0.19678	0.532146	0.172479	0.326893	0.615759	0.51671	0.295932	0.632234	0.560874	0.512612	0.512612	N/A
ORTHOMCL1188	0.518363	0.518363	0.517477	0.000173865	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.0619843	0.00295617	0.531952	0.506367	0.506367	N/A
ORTHOMCL1209	0.00926429	0.518363	0.517477	0.00932214	0.549642	0.0389283	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.070422	0.56386	0.508462	0.0619843	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL1218	0.518363	5.8991e-08	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.0619843	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL1227	0.0185289	0.535721	0.517477	0.518477	0.0254034	0.575269	0.533579	0.5221	0.510757	0.0378839	0.516478	0.563277	0.633477	0.56386	0.508462	0.0619843	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL1270	0.518363	0.518363	0.517477	0.00932214	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.094699	0.508462	1.56069e-05	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL1282	0.535721	0.535721	0.517477	0.518477	0.0254034	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.000227984	0.531952	0.506367	0.506367	N/A
ORTHOMCL1286	0.518363	5.8991e-08	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.0325684	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
